TRT,LIVE_WEIGHT_STARTER,LIVE_WEIGHT_GROWER,LIVE_WEIGHT_TOTAL,ADG_STARTER/PEN,FI_STARTER/PEN,FCR_STARTER/PEN,ADG_GROWER/PEN,FI_GROWER/PEN,FCR_GROWER/PEN,ADG_TOTAL/PEN,FI_TOTAL/PEN,FCR_TOTAL/PEN
Basal Diet,113.4,535.4,648.8,11.34,162,1.428571429,53.54,767.8,1.434067987,64.88,929.8,1.433107275
Basal Diet,111.2,566,677.2,11.12,179.1,1.610611511,56.6,789.6,1.395053004,67.72,968.7,1.430448907
Basal Diet,144.2,639.8,784,14.42,182.2,1.263522885,63.98,901.7,1.409346671,78.4,1083.9,1.38252551
Basal Diet,134.5777778,622.7777778,757.3555556,14.95308642,194,1.578545575,69.19753086,865,1.388938448,84.15061728,1059,1.398286435
Basal Diet,145.6,627.5,773.1,14.56,175.4,1.20467033,62.75,874.2,1.39314741,77.31,1056,1.365929375
Basal Diet,136.1444444,595.7777778,731.9222222,15.12716049,193.6666667,1.525508773,66.19753086,878.7777778,1.475009325,81.32469136,1073.666667,1.466913606
Basal Diet,135.4,611.8,747.2,13.54,183.1,1.352289513,61.18,854.9,1.397352076,74.72,1029.2,1.377408994
Basal Diet,140.8,661.8444444,802.6444444,14.08,184,1.306818182,66.18444444,849.8,1.54398751,89.18271605,1147.666667,1.429856862
Probiotic,146.4,646.6,793,14.64,184,1.256830601,64.66,879.7,1.360501083,79.3,1063.7,1.341361917
Probiotic,132.6,611.5,744.1,13.26,182.8,1.378582202,61.15,857.6,1.402452984,74.41,1040.4,1.398199167
Probiotic,148.7,656.4,805.1,14.87,181.7,1.221923336,65.64,891.4,1.358013406,80.51,1073.1,1.332877903
Probiotic,140.9,680.2,821.1,14.09,185.6,1.317246274,68.02,926.9,1.362687445,82.11,1112.5,1.354889782
Probiotic,151.9,599.9,751.8,15.19,187.1,1.231731402,59.99,843.9,1.406734456,75.18,1031,1.371375366
Probiotic,142.5,675.6,818.1,14.25,182.3,1.279298246,67.56,924.6,1.368561279,81.81,1106.9,1.353013079
Probiotic,137.5,606,743.5,13.75,175.5,1.276363636,60.6,851.5,1.405115512,74.35,1027,1.38130464
Probiotic,140,653.7,793.7,14,192.1,1.372142857,65.37,900.7,1.377849166,79.37,1092.8,1.376842636
Essential Oils,125,599.7,724.7,12.5,171.1,1.3688,59.97,862.2,1.437718859,72.47,1033.3,1.425831379
Essential Oils,136.2,641.3,777.5,13.62,177.1,1.300293686,64.13,927.2,1.445813192,77.75,1104.3,1.420321543
Essential Oils,129.1,622.3,751.4,12.91,172.4,1.335398916,62.23,819,1.316085489,75.14,991.4,1.31940378
Essential Oils,143.7,664.5,808.2,14.37,185.2,1.288796103,66.45,923.8,1.390218209,80.82,1109,1.372185103
Essential Oils,139.1,652.4,791.5,13.91,175.4,1.260963336,65.24,902.2,1.38289393,79.15,1077.6,1.361465572
Essential Oils,147.3,661.3,808.6,14.73,188.4,1.279022403,66.13,932.3,1.409798881,80.86,1120.7,1.385975761
Essential Oils,134.3,627.3,761.6,13.43,180.2,1.341772152,62.73,872.5,1.390881556,76.16,1052.7,1.382221639
Essential Oils,150.2777778,630.5555556,780.8333333,16.69753086,188.8888889,1.343931608,70.0617284,923.6666667,1.464845815,86.75925926,1112.555556,1.424831021
BMD,123.8,617.4,741.2,12.38,165.3,1.335218094,61.74,871.5,1.411564626,74.12,1036.8,1.398812736
BMD,144.9,663.9,808.8,14.49,175.3,1.209799862,66.39,927.7,1.397348998,80.88,1103,1.363748764
BMD,126.2,630.5,756.7,12.62,163.3,1.293977813,63.05,864.1,1.370499603,75.67,1027.4,1.357737545
BMD,131.3111111,563.8888889,695.2,14.59012346,176.3333333,1.411866813,62.65432099,825.6666667,1.464236453,77.24444444,1002,1.441311853
BMD,135.5,644.6,780.1,13.55,170.4,1.257564576,64.46,885.9,1.374340676,78.01,1056.3,1.354057172
BMD,144.9111111,662.3333333,807.2444444,16.10123457,188.7777778,1.366714308,73.59259259,959.2222222,1.448246938,89.69382716,1148,1.422121896
BMD,135.2,672.6,807.8,13.52,176.3,1.303994083,67.26,920.3,1.368272376,80.78,1096.6,1.357514236
BMD,133.4,620.7,754.1,13.34,171.8,1.287856072,62.07,878.7,1.415659739,75.41,1050.5,1.393051319
