TRT,CAGETREATBLOCK ,CAGE,WEIGHT_1,WEIGHT_2,WEIGHT_3,,,,,,,,,,,,,,,,
Basal Diet,1,101,40,105,798,,,,,,,,,,,,,,,,
Basal Diet,1,101,42,179,707,,,,,,,,,,,,,,,,
Basal Diet,1,101,39,162,410,,,,,,,,,,,,,,,,
Basal Diet,1,101,40,160,846,,,,,,,,,,,,,,,,
Basal Diet,1,101,43,172,830,,,,,,,,,,,,,,,,
Basal Diet,1,101,48,193,432,,,,,,,,,,,,,,,,
Basal Diet,1,101,44,168,800,,,,,,,,,,,,,,,,
Basal Diet,1,101,43,181,768,,,,,,,,,,,,,,,,
Basal Diet,1,101,43,159,723,,,,,,,,,,,,,,,,
Basal Diet,1,101,46,83,602,,,,,,,,,,,,,,,,
Basal Diet,2,105,50,169,843,,,,,,,,,,,,,,,,
Basal Diet,2,105,41,156,544,,,,,,,,,,,,,,,,
Basal Diet,2,105,45,184,322,,,,,,,,,,,,,,,,
Basal Diet,2,105,51,173,780,,,,,,,,,,,,,,,,
Basal Diet,2,105,44,161,852,,,,,,,,,,,,,,,,
Basal Diet,2,105,43,174,809,,,,,,,,,,,,,,,,
Basal Diet,2,105,44,119,860,,,,,,,,,,,,,,,,
Basal Diet,2,105,40,146,631,,,,,,,,,,,,,,,,
Basal Diet,2,105,46,172,843,,,,,,,,,,,,,,,,
Basal Diet,2,105,44,106,736,,,,,,,,,,,,,,,,
Basal Diet,3,116,48,202,995,,,,,,,,,,,,,,,,
Basal Diet,3,116,50,201,737,,,,,,,,,,,,,,,,
Basal Diet,3,116,45,179,919,,,,,,,,,,,,,,,,
Basal Diet,3,116,45,159,842,,,,,,,,,,,,,,,,
Basal Diet,3,116,42,176,634,,,,,,,,,,,,,,,,
Basal Diet,3,116,43,203,756,,,,,,,,,,,,,,,,
Basal Diet,3,116,46,156,848,,,,,,,,,,,,,,,,
Basal Diet,3,116,44,234,753,,,,,,,,,,,,,,,,
Basal Diet,3,116,38,154,892,,,,,,,,,,,,,,,,
Basal Diet,3,116,38,217,903,,,,,,,,,,,,,,,,
Basal Diet,4,120,43,203,839,,,,,,,,,,,,,,,,
Basal Diet,4,120,48,162,829,,,,,,,,,,,,,,,,
Basal Diet,4,120,39,145,826,,,,,,,,,,,,,,,,
Basal Diet,4,120,41,181,802,,,,,,,,,,,,,,,,
Basal Diet,4,120,43,164,704,,,,,,,,,,,,,,,,
Basal Diet,4,120,43,217,808,,,,,,,,,,,,,,,,
